feature,top_k_count,mean_ap_drop,ap_drop_std_across_folds,top_k_frequency
feature_238,0,0.003929041123161566,0.006173812627900243,0.0
feature_058,0,0.003648916979261181,0.0077389345880606135,0.0
feature_155,0,0.003426433176250121,0.003215567428560338,0.0
feature_239,0,0.003412817983001977,0.005366847876531607,0.0
feature_552,0,0.0032903447113989326,0.006533067737466288,0.0
feature_443,0,0.0032800575898533136,0.006730947168823443,0.0
feature_142,0,0.0032774242994595914,0.004977685176022402,0.0
feature_429,0,0.0031072926256046664,0.006474390098498096,0.0
feature_287,0,0.0030571268548273893,0.0029463121282006545,0.0
feature_377,0,0.002917450079190291,0.005189528597108433,0.0
feature_153,0,0.0028648712280279023,0.006208873369953511,0.0
feature_376,0,0.0026386179371805656,0.006178885155571052,0.0
feature_054,0,0.002584112359088714,0.005773167824102429,0.0
feature_202,0,0.0023864184123019217,0.004002935780253163,0.0
feature_549,0,0.00237543513982044,0.00497469270581334,0.0
feature_121,0,0.002321976567250435,0.004407550048257767,0.0
feature_408,0,0.002254629146268346,0.005281741117485376,0.0
feature_417,0,0.0022498799050182016,0.005244835840111956,0.0
feature_320,0,0.0022268568842504794,0.005277142934595119,0.0
feature_182,0,0.002211948045617227,0.006937071691409887,0.0
feature_026,0,0.002206539974342725,0.005481957026886593,0.0
feature_048,0,0.0021680993584994573,0.006449652804922774,0.0
feature_562,0,0.0021491232746333375,0.005429495384062304,0.0
feature_030,0,0.0021006025602588446,0.004541033030596773,0.0
feature_484,0,0.002081247464398454,0.0017061022626160473,0.0
feature_310,0,0.0020716452940049202,0.004059556596946801,0.0
feature_135,0,0.0020489104360171635,0.003475558281299591,0.0
feature_431,0,0.0020243001013781495,0.004344381066260514,0.0
feature_143,0,0.00201179550577519,0.004306933710992253,0.0
feature_548,0,0.0019700296015037035,0.004283662195023177,0.0
feature_485,0,0.001967288132740545,0.0024444378996623176,0.0
feature_269,0,0.0019637784507531694,0.005323960750589876,0.0
feature_576,0,0.0019618197070018885,0.005635549908634875,0.0
feature_306,0,0.0019225013876390418,0.0035964806968309753,0.0
feature_343,0,0.001871186115590031,0.0018366126622654387,0.0
feature_060,0,0.0018464985761089958,0.00634139696341321,0.0
feature_291,0,0.0018389889308322882,0.004787195828784827,0.0
feature_588,0,0.0018366112505505312,0.003747816754547548,0.0
feature_225,0,0.0018349420796718104,0.0034909823687718196,0.0
feature_436,0,0.0018244648021704872,0.004499647890566272,0.0
feature_215,0,0.001801616283386015,0.002900134980540179,0.0
feature_545,0,0.001795477959745993,0.003178692626891324,0.0
feature_407,0,0.0017796281227799692,0.0051953837221939145,0.0
feature_415,0,0.0017507611848100828,0.00501052252200146,0.0
feature_100,0,0.0017479177271519635,0.0023446199389179287,0.0
feature_383,0,0.001741586401751947,0.004200529557097622,0.0
feature_128,0,0.0017373786323175023,0.006804257414845791,0.0
feature_522,0,0.001727165387928185,0.004402920015132515,0.0
feature_338,0,0.0017206496116545435,0.004754697624669104,0.0
feature_542,0,0.0016698145396926024,0.0038118852678365013,0.0
feature_084,0,0.0016599788490448204,0.0022630916247588727,0.0
feature_204,0,0.0016487262497289746,0.0044144409668469085,0.0
feature_159,0,0.0016203297838856955,0.004228000591808923,0.0
feature_340,0,0.0015490046196245072,0.004733453510046085,0.0
feature_171,0,0.0014651034678176522,0.004338477071765933,0.0
feature_124,0,0.0014604277428817293,0.007427400940691707,0.0
feature_095,0,0.001453101833228663,0.0016896427522567368,0.0
feature_573,0,0.0014458012529326935,0.0075973203034329796,0.0
feature_133,0,0.001445428778342191,0.00541664444897436,0.0
feature_405,0,0.0014436805739226047,0.004054731655845846,0.0
feature_200,0,0.0014387681549133577,0.0071192431839946675,0.0
feature_025,0,0.0014383050515262264,0.006378391792610011,0.0
feature_138,0,0.0014029640885674544,0.004876407184536461,0.0
feature_181,0,0.001402617359181383,0.004984146594131649,0.0
feature_207,0,0.0013978261152914487,0.0024125598456575864,0.0
feature_079,0,0.0013659358523053853,0.005099610702491096,0.0
feature_051,0,0.001362404025979569,0.0021093134739333446,0.0
feature_105,0,0.001354806627953222,0.00206638078881899,0.0
feature_469,0,0.0013536561572346268,0.006164294936619962,0.0
feature_080,0,0.0013435211685946709,0.0038464489546389258,0.0
feature_061,0,0.0013257241020304881,0.005885576534838671,0.0
feature_555,0,0.0013200988927552892,0.003930189494480083,0.0
feature_185,0,0.001310178544272015,0.004419301400525233,0.0
feature_318,0,0.0013099414626121983,0.005229745924372818,0.0
feature_170,0,0.0013083929413599206,0.0017197284617979894,0.0
feature_572,0,0.0012968908856919481,0.0036188454492743854,0.0
feature_445,0,0.0012691724127208794,0.004077138495894367,0.0
feature_579,0,0.001253295884070112,0.0013804035527857474,0.0
feature_112,0,0.0012464653680961668,0.002981259014343089,0.0
feature_456,0,0.001242869386142644,0.0020660373537799526,0.0
feature_336,0,0.0012423010191482194,0.004890716709747561,0.0
feature_020,0,0.0012036153379985906,0.002052601362181333,0.0
feature_224,0,0.001202557080787986,0.005729327301514207,0.0
feature_471,0,0.001160957667249516,0.003932181695764285,0.0
feature_000,0,0.0011593745195571806,0.0031260658342094337,0.0
feature_569,0,0.0011578322887192665,0.0031636218920721463,0.0
feature_183,0,0.0011525758627278855,0.007770735164692332,0.0
feature_516,0,0.0011400892609156146,0.0026080819958827182,0.0
feature_282,0,0.0011383275697219714,0.006497285948907976,0.0
feature_474,0,0.0011336702296908456,0.004020864980253097,0.0
feature_361,0,0.0011335850078351233,0.00677575406384446,0.0
feature_586,0,0.0011230542971124371,0.006754733845671439,0.0
feature_184,0,0.001113369063670992,0.00523684841536539,0.0
feature_211,0,0.0011023120232297866,0.002434562973560169,0.0
feature_570,0,0.0010589168524156646,0.005367346605602425,0.0
feature_273,0,0.0010451636326156441,0.0031838531051770684,0.0
feature_109,0,0.001017959791384321,0.0022876881000091346,0.0
feature_219,0,0.0010173011751826702,0.0033496465611315878,0.0
feature_299,0,0.0010064005536882027,0.0025014421171440757,0.0
feature_316,0,0.0009540386669649736,0.006873236472698921,0.0
feature_473,0,0.0008641799042498771,0.0038663777430655534,0.0
feature_123,0,0.0008613381727121357,0.005716582193078681,0.0
feature_187,0,0.0008412546295744541,0.0032928850371027906,0.0
feature_412,0,0.0008377260037536841,0.004275037592214118,0.0
feature_517,0,0.0008238938153415328,0.0011646564735813341,0.0
feature_227,0,0.0008073274806482345,0.0042592640032079986,0.0
feature_176,0,0.0007879387850213526,0.002748664756793259,0.0
feature_499,0,0.0007720882028752244,0.004725875447333386,0.0
feature_434,0,0.0007659506523396956,0.005391569451874528,0.0
feature_419,0,0.0007276053900277986,0.002371167892879722,0.0
feature_217,0,0.0007221602823202167,0.001420041469571948,0.0
feature_129,0,0.0007068170223452205,0.007585631190047082,0.0
feature_363,0,0.0006867845640545822,0.0012498937818347482,0.0
feature_556,0,0.0006792777695848574,0.002029373746179022,0.0
feature_041,0,0.0006784262740066327,0.0027280555366466395,0.0
feature_406,0,0.0006749945917993494,0.002110606338631683,0.0
feature_554,0,0.0006736614450537525,0.0051180133351933065,0.0
feature_283,0,0.0006715730500771418,0.0024055794405274384,0.0
feature_486,0,0.0006667622025725665,0.0036277477935692144,0.0
feature_416,0,0.0006569615730495044,0.006051145690228893,0.0
feature_427,0,0.0006527958543357284,0.005025371362848917,0.0
feature_267,0,0.0006488259058705907,0.004028594253589329,0.0
feature_006,0,0.0006370797929723005,0.004115098770875252,0.0
feature_101,0,0.0006243383588079797,0.0015321192526617654,0.0
feature_245,0,0.000620491740468428,0.001954433024307863,0.0
feature_393,0,0.0006083398950146405,0.004056449043893871,0.0
feature_220,0,0.0006034692577867632,0.0014792620701365694,0.0
feature_023,0,0.0005813028120349063,0.004877009286585126,0.0
feature_583,0,0.0005687824099619933,0.0063452453497372064,0.0
feature_539,0,0.0005579084328618015,0.00202462496788584,0.0
feature_066,0,0.0005555109551567182,0.0056572510065576904,0.0
feature_221,0,0.0005377559972591817,0.0016277138286265084,0.0
feature_077,0,0.0005309688627965713,0.0031311866266188434,0.0
feature_139,0,0.0005299848696793598,0.005957062456994107,0.0
feature_001,0,0.0005248156213521463,0.004875751597592991,0.0
feature_067,0,0.0005171551051483148,0.0029523493334842046,0.0
feature_104,0,0.000509709266166423,0.001971580263836258,0.0
feature_388,0,0.000502662610921852,0.00281702059994518,0.0
feature_550,0,0.0004788870869763187,0.002303918390275723,0.0
feature_475,0,0.00047698337460497784,0.00312706290408327,0.0
feature_349,0,0.00047544676983787463,0.0012474053204437987,0.0
feature_489,0,0.0004495412802919188,0.0018996674974388788,0.0
feature_250,0,0.000440796755762866,0.007428627151026249,0.0
feature_096,0,0.0004368609411523525,0.0019431294179575662,0.0
feature_440,0,0.00041554035062752283,0.002562913842632553,0.0
feature_289,0,0.0004126176321346653,0.002297360642784552,0.0
feature_043,0,0.000404376946040802,0.0012085416093214364,0.0
feature_492,0,0.00040408916066770885,0.0007875269040284663,0.0
feature_277,0,0.00039405020401180323,0.0015127893883579656,0.0
feature_288,0,0.0003919962847284095,0.005826060941659229,0.0
feature_354,0,0.0003913409665353862,0.002617353260220474,0.0
feature_495,0,0.0003779167689339261,0.004248626540814577,0.0
feature_248,0,0.0003640189248692749,0.00523235773229227,0.0
feature_360,0,0.0003396168639190697,0.0028775483077446173,0.0
feature_222,0,0.000316860308297895,0.002268003925846693,0.0
feature_029,0,0.00029603689121954956,0.0007680175701845742,0.0
feature_428,0,0.0002859707039184773,0.001955301369697425,0.0
feature_480,0,0.00027937877424560333,0.007011532185734066,0.0
feature_156,0,0.00027574874307264023,0.0038426320510879025,0.0
feature_034,0,0.00026044437266102647,0.0031448188067828503,0.0
feature_442,0,0.00022972265702291824,0.0018706002743099765,0.0
feature_214,0,0.00017975403661262638,0.0012350139772745103,0.0
feature_167,0,0.00017923980444582247,0.0023349714392371427,0.0
feature_546,0,0.00017856349552885877,0.0014026897614796462,0.0
feature_389,0,0.00016867919301914434,0.0026814651887344123,0.0
feature_487,0,0.00016130951812990034,0.001681434617010951,0.0
feature_062,0,0.00015502946873627164,0.005466960358225365,0.0
feature_448,0,0.0001489681057085913,0.005736108101882535,0.0
feature_497,0,0.00014692387361282716,0.001194680197826543,0.0
feature_218,0,0.00014498675067854582,0.0026277068691417105,0.0
feature_275,0,0.00014268010835980508,0.002826761542733178,0.0
feature_158,0,0.00014261621087045354,0.0004742948631128947,0.0
feature_148,0,0.00013396483512567167,0.0017630003993804905,0.0
feature_518,0,0.00013297440508346726,0.0013005533450831735,0.0
feature_367,0,0.00012462031816861692,0.003923429506730153,0.0
feature_494,0,0.00011773313846399902,0.0008309232797730625,0.0
feature_028,0,0.00011602950817085977,0.004063088388512599,0.0
feature_107,0,0.00011287557712606282,0.0038642187532322413,0.0
feature_012,0,0.00011019143259491017,0.001597037457664727,0.0
feature_072,0,0.00010506066040872342,0.0015891948326766606,0.0
feature_382,0,9.785351025733968e-05,0.0029828472230561437,0.0
feature_335,0,9.284031795718968e-05,0.004216242797818789,0.0
feature_168,0,9.117216083533248e-05,0.0041450024668804025,0.0
feature_047,0,8.404906615820384e-05,0.005155414858976063,0.0
feature_540,0,7.7121037935729e-05,0.002561501155904008,0.0
feature_312,0,4.887210093752841e-05,0.001824075586969154,0.0
feature_210,0,3.589209339652777e-05,0.008016801364862096,0.0
feature_027,0,2.9143162806364753e-05,0.003313742683492987,0.0
feature_070,0,1.703297093658319e-05,0.0032684628869669697,0.0
feature_087,0,1.1671769489949658e-05,0.0012750554351923097,0.0
feature_114,0,1.0081576752561199e-05,2.2543090939108417e-05,0.0
feature_358,0,6.786452033902268e-06,1.5174968073847179e-05,0.0
feature_157,0,5.834855142379983e-06,0.00016960596902947957,0.0
feature_387,0,4.895840983084229e-06,1.0947433245205733e-05,0.0
feature_249,0,1.7472876090033712e-06,3.907053869974611e-06,0.0
feature_521,0,1.7472876090033712e-06,3.907053869974611e-06,0.0
feature_493,0,1.553591000569613e-07,0.0026289026222474123,0.0
feature_005,0,0.0,0.0,0.0
feature_013,0,0.0,0.0,0.0
feature_042,0,0.0,0.0,0.0
feature_049,0,0.0,0.0,0.0
feature_052,0,0.0,0.0,0.0
feature_069,0,0.0,0.0,0.0
feature_074,0,0.0,0.0,0.0
feature_097,0,0.0,0.0,0.0
feature_141,0,0.0,0.0,0.0
feature_149,0,0.0,0.0,0.0
feature_178,0,0.0,0.0,0.0
feature_179,0,0.0,0.0,0.0
feature_186,0,0.0,0.0,0.0
feature_189,0,0.0,0.0,0.0
feature_190,0,0.0,0.0,0.0
feature_191,0,0.0,0.0,0.0
feature_192,0,0.0,0.0,0.0
feature_193,0,0.0,0.0,0.0
feature_194,0,0.0,0.0,0.0
feature_206,0,0.0,0.0,0.0
feature_209,0,0.0,0.0,0.0
feature_226,0,0.0,0.0,0.0
feature_229,0,0.0,0.0,0.0
feature_230,0,0.0,0.0,0.0
feature_231,0,0.0,0.0,0.0
feature_232,0,0.0,0.0,0.0
feature_233,0,0.0,0.0,0.0
feature_234,0,0.0,0.0,0.0
feature_235,0,0.0,0.0,0.0
feature_236,0,0.0,0.0,0.0
feature_237,0,0.0,0.0,0.0
