feature,folds_retained,top_k_count,mean_standardized_coefficient,mean_absolute_coefficient,coefficient_std_across_folds,median_absolute_rank,sign_consistency,retained_frequency,top_k_frequency
feature_081,3,1,0.4100697462285547,0.4100697462285547,0.11083379088867949,25.0,1.0,1.0,0.3333333333333333
feature_476,3,1,-0.40981157174703703,0.40981157174703703,0.23013460940757519,47.0,1.0,1.0,0.3333333333333333
feature_060,3,1,0.40830539333301674,0.40830539333301674,0.24499097606142586,69.0,1.0,1.0,0.3333333333333333
feature_197,3,1,0.4080846213122504,0.4080846213122504,0.23345570581046554,35.0,1.0,1.0,0.3333333333333333
feature_333,3,1,0.4048167097657889,0.4048167097657889,0.23087309425996605,41.0,1.0,1.0,0.3333333333333333
feature_305,3,1,-0.3891825443666231,0.3891825443666231,0.308811637219619,67.0,1.0,1.0,0.3333333333333333
feature_059,3,1,0.37470292189548404,0.37470292189548404,0.3278165287603283,66.0,1.0,1.0,0.3333333333333333
feature_115,3,1,-0.3689934346747012,0.3689934346747012,0.1047011273865485,50.0,1.0,1.0,0.3333333333333333
feature_103,3,1,0.3598429490167229,0.3598429490167229,0.07313063049198078,93.0,1.0,1.0,0.3333333333333333
feature_047,3,1,0.31781306176274504,0.3486660641825819,0.3474551792867854,71.0,0.6666666666666666,1.0,0.3333333333333333
feature_407,3,1,-0.3348820268249196,0.3349301356368659,0.3414115005855821,89.0,0.6666666666666667,1.0,0.3333333333333333
feature_419,3,1,0.30993359322649394,0.30993359322649394,0.10817805054466044,64.0,1.0,1.0,0.3333333333333333
feature_126,3,1,0.16462569157897028,0.2771646579822177,0.37062620446721595,100.0,0.6666666666666666,1.0,0.3333333333333333
feature_544,3,1,0.1860469865045049,0.2367915188590386,0.38903688424994615,292.0,0.6666666666666667,1.0,0.3333333333333333
feature_345,3,1,0.2348056204065929,0.2348056204065929,0.1654085714470783,158.0,1.0,1.0,0.3333333333333333
feature_037,3,1,0.19915098273822118,0.19915098273822118,0.16817531612866005,228.0,1.0,1.0,0.3333333333333333
feature_114,3,1,0.11404362179584863,0.1736657099992838,0.27499605594251886,369.0,0.6666666666666667,1.0,0.3333333333333333
feature_112,3,1,-0.1464960846350286,0.1464960846350286,0.16188789210621807,275.0,1.0,1.0,0.3333333333333333
feature_109,1,0,-0.5761367475589437,0.5761367475589437,,28.0,1.0,0.3333333333333333,0.0
feature_358,1,0,0.5067061895404132,0.5067061895404132,,43.0,1.0,0.3333333333333333,0.0
feature_085,1,0,-0.4754750341757974,0.4754750341757974,,55.0,1.0,0.3333333333333333,0.0
feature_064,3,0,0.43337406485067514,0.43337406485067514,0.15897508370137814,32.0,1.0,1.0,0.0
feature_020,3,0,0.4142842667470498,0.4142842667470498,0.21814046453636574,29.0,1.0,1.0,0.0
feature_214,3,0,-0.4029399541213799,0.4029399541213799,0.2372519883580503,30.0,1.0,1.0,0.0
feature_021,3,0,0.401364785864855,0.401364785864855,0.1947125723200259,59.0,1.0,1.0,0.0
feature_155,3,0,-0.39355754043641417,0.39355754043641417,0.09902843902827588,28.0,1.0,1.0,0.0
feature_344,3,0,-0.3908957830473991,0.3908957830473991,0.1544838160575249,60.0,1.0,1.0,0.0
feature_303,3,0,0.3767608356881347,0.3767608356881347,0.20172383480585343,37.0,1.0,1.0,0.0
feature_365,3,0,0.3645932149742925,0.3645932149742925,0.20188005105076842,82.0,1.0,1.0,0.0
feature_477,3,0,0.3554040539889223,0.3554040539889223,0.13182651165397705,62.0,1.0,1.0,0.0
feature_474,3,0,0.35479726374246284,0.35479726374246284,0.2122240093166788,45.0,1.0,1.0,0.0
feature_352,3,0,-0.3519560719592683,0.3519560719592683,0.14075982808165158,58.0,1.0,1.0,0.0
feature_469,3,0,0.3404161423181494,0.3404161423181494,0.19397711718903968,60.0,1.0,1.0,0.0
feature_566,3,0,-0.33583368774969985,0.33583368774969985,0.09860597084289623,69.0,1.0,1.0,0.0
feature_038,3,0,-0.3354970899206468,0.3354970899206468,0.1437522975132324,73.0,1.0,1.0,0.0
feature_335,3,0,-0.3339234337658885,0.3339234337658885,0.1672469936099153,59.0,1.0,1.0,0.0
feature_341,3,0,0.33334754025554747,0.33334754025554747,0.1495354832031629,63.0,1.0,1.0,0.0
feature_011,3,0,-0.32918586588097737,0.32918586588097737,0.07199309145342617,49.0,1.0,1.0,0.0
feature_488,3,0,-0.2516176696796914,0.32884023208622243,0.33213861171521936,81.0,0.6666666666666667,1.0,0.0
feature_277,3,0,0.2718101813994646,0.3234115102340723,0.3307088616316546,98.0,0.6666666666666666,1.0,0.0
feature_062,3,0,-0.32143857246272206,0.32143857246272206,0.16385900096202638,77.0,1.0,1.0,0.0
feature_563,3,0,-0.3197820366084278,0.3197820366084278,0.15473383019920375,50.0,1.0,1.0,0.0
feature_428,3,0,-0.3183873977828044,0.3183873977828044,0.09204598265980843,49.0,1.0,1.0,0.0
feature_117,3,0,-0.31576228293427167,0.31576228293427167,0.19832281835817214,131.0,1.0,1.0,0.0
feature_108,3,0,-0.31219587378137,0.31219587378137,0.20029849564863136,73.0,1.0,1.0,0.0
feature_124,3,0,-0.30986081829185924,0.30986081829185924,0.223036061621178,108.0,1.0,1.0,0.0
feature_473,3,0,0.2985856163285609,0.3075986050829726,0.28618370161170437,68.0,0.6666666666666666,1.0,0.0
feature_091,3,0,-0.3041941642657192,0.3041941642657192,0.22910111305890243,110.0,1.0,1.0,0.0
feature_518,1,0,0.30319332787983766,0.30319332787983766,,135.0,1.0,0.3333333333333333,0.0
feature_246,1,0,0.302050825659529,0.302050825659529,,136.0,1.0,0.3333333333333333,0.0
feature_438,3,0,-0.300748564375299,0.300748564375299,0.16995510719698106,84.0,1.0,1.0,0.0
feature_090,3,0,-0.3002856217382866,0.3002856217382866,0.06628268187917888,101.0,1.0,1.0,0.0
feature_168,3,0,0.2991351523809456,0.2991351523809456,0.08840753217964663,87.0,1.0,1.0,0.0
feature_275,3,0,0.2948551087785947,0.2948551087785947,0.16620964185381815,100.0,1.0,1.0,0.0
feature_485,3,0,-0.29379061872534007,0.29379061872534007,0.050237867893078554,74.0,1.0,1.0,0.0
feature_007,3,0,-0.292810835347809,0.292810835347809,0.06026742445672765,91.0,1.0,1.0,0.0
feature_292,3,0,-0.29221251235032336,0.29221251235032336,0.24053484588186208,120.0,1.0,1.0,0.0
feature_014,3,0,-0.29218449239783284,0.29218449239783284,0.12538566452875627,103.0,1.0,1.0,0.0
feature_386,3,0,-0.29089743667166923,0.29089743667166923,0.15316392434142476,107.0,1.0,1.0,0.0
feature_486,3,0,0.28984257646969025,0.28984257646969025,0.19024981969696386,122.0,1.0,1.0,0.0
feature_270,3,0,-0.2861344444278107,0.2861344444278107,0.19860669217968857,80.0,1.0,1.0,0.0
