feature,logistic_top20_frequency,mean_absolute_coefficient,mean_standardized_coefficient,sign_consistency,rf_top20_frequency,mean_ap_drop,ap_drop_std_across_folds,logistic_rank,rf_rank,meets_either_method_60pct_rule,meets_both_methods_60pct_rule,evidence_frequency_sum,mean_rank
feature_059,1.0,1.3094166170626083,1.3094166170626083,1.0,0.6,0.010180335321113832,0.013767145876719044,1.0,2.0,True,True,1.6,1.5
feature_205,0.7333333333333333,0.7903467512401868,0.7903467512401868,1.0,0.4,0.005335792696020061,0.007748260641018905,5.0,12.0,True,False,1.1333333333333333,8.5
feature_132,0.8666666666666667,0.9573495190615737,-0.9573495190615737,1.0,0.2,0.0017455668302474709,0.004587104733334131,3.0,89.0,True,False,1.0666666666666667,46.0
feature_216,0.9333333333333333,0.9883024792228275,0.9883024792228275,1.0,0.0,-0.00019724102886733248,0.0050619207553085615,2.0,411.0,True,False,0.9333333333333333,206.5
feature_103,0.2,0.3476541682830604,0.21275491222932133,0.7333333333333333,0.6,0.008938893704896913,0.005273160617521747,103.0,3.0,True,False,0.8,53.0
feature_033,0.0,0.1343143751257022,0.01875204389189936,0.5333333333333333,0.8,0.013397438242269372,0.01332072181373725,387.0,1.0,True,False,0.8,194.0
feature_031,0.0,0.24673375956225704,0.18628152156911285,0.8,0.6,0.004199068704416217,0.0074176064546379395,189.0,17.0,True,False,0.6,103.0
feature_056,0.6,0.7874807139334297,0.7874807139334297,1.0,0.0,-0.0017047357640828393,0.004593814067194854,6.0,538.0,True,False,0.6,272.0
feature_078,0.5333333333333333,0.7299823403415867,-0.7299823403415867,1.0,0.2,6.271191672954681e-05,0.0060448638926038235,7.0,252.0,False,False,0.7333333333333334,129.5
feature_040,0.4666666666666667,0.6121282866768265,-0.6121282866768265,1.0,0.2,0.0014032741106856522,0.0076608345039250745,19.0,111.0,False,False,0.6666666666666667,65.0
feature_563,0.26666666666666666,0.6275626991947639,-0.6275626991947639,1.0,0.4,0.0007495689201534135,0.007328674541997187,17.0,169.0,False,False,0.6666666666666667,93.0
feature_021,0.4,0.6089375651828947,0.6089375651828947,1.0,0.2,0.0036748545338718187,0.0031951679307831594,20.0,23.0,False,False,0.6000000000000001,21.5
feature_014,0.13333333333333333,0.4599265513833082,-0.4509669510296346,0.8666666666666667,0.4,0.005222999587157314,0.00548321513749621,54.0,13.0,False,False,0.5333333333333333,33.5
feature_129,0.5333333333333333,0.8134700855428149,0.8134700855428149,1.0,0.0,0.0007068170223452205,0.007585631190047082,4.0,172.0,False,False,0.5333333333333333,88.0
feature_075,0.5333333333333333,0.6368444762269821,0.6368444762269821,1.0,0.0,-0.001391052720987503,0.0038587275180181845,14.0,523.0,False,False,0.5333333333333333,268.5
feature_477,0.06666666666666667,0.4986463438951064,0.4986463438951064,1.0,0.4,0.007999044008342235,0.009978082552686202,46.0,4.0,False,False,0.4666666666666667,25.0
feature_030,0.4666666666666667,0.6630443030131107,-0.6630443030131107,1.0,0.0,0.0021006025602588446,0.004541033030596773,10.0,63.0,False,False,0.4666666666666667,36.5
feature_488,0.26666666666666666,0.5039291966514439,-0.5039291966514439,1.0,0.2,0.0008036994516935477,0.0027388838032735324,41.0,163.0,False,False,0.4666666666666667,102.0
feature_081,0.06666666666666667,0.23798846838964685,0.23798846838964685,1.0,0.4,0.0028347196848319115,0.008632428269928522,203.0,38.0,False,False,0.4666666666666667,120.5
feature_510,0.06666666666666667,0.22711180587303711,0.12505218490916029,0.6666666666666666,0.4,0.0004894080989263104,0.010799989715841746,218.0,199.0,False,False,0.4666666666666667,208.5
feature_305,0.4666666666666667,0.6600559906919419,-0.6600559906919419,1.0,0.0,-0.0005652430416452839,0.003772939221526404,11.0,456.0,False,False,0.4666666666666667,233.5
feature_415,0.4,0.6767690954461295,-0.6767690954461295,1.0,0.0,0.0017507611848100828,0.00501052252200146,8.0,87.0,False,False,0.4,47.5
feature_341,0.0,0.3508819320597887,0.34477970720685813,0.9333333333333333,0.4,0.006328874759632799,0.011411009876356293,100.0,6.0,False,False,0.4,53.0
feature_061,0.4,0.6303548373626764,0.6303548373626764,1.0,0.0,0.0013257241020304881,0.005885576534838671,16.0,120.0,False,False,0.4,68.0
feature_587,0.0,0.23938684933231322,0.14228855821282013,0.8,0.4,0.004217544408616167,0.004334402051088798,200.0,16.0,False,False,0.4,108.0
