feature,logistic_top20_count,logistic_top20_frequency,mean_absolute_coefficient,sign_consistency,rf_positive_top20_count,rf_positive_top20_frequency,mean_ap_drop,logistic_meets_2_of_3,rf_meets_2_of_3,meets_both_methods_2_of_3,temporal_evidence_count_sum
feature_477,0,0.0,0.3554040539889223,1.0,0,0.0,-0.006815874552586798,False,False,False,0
feature_474,0,0.0,0.35479726374246284,1.0,0,0.0,0.0003841649408963625,False,False,False,0
feature_352,0,0.0,0.3519560719592683,1.0,0,0.0,-0.0011132106313217413,False,False,False,0
feature_469,0,0.0,0.3404161423181494,1.0,0,0.0,-6.090200102041449e-05,False,False,False,0
feature_566,0,0.0,0.33583368774969985,1.0,0,0.0,-0.000216406483481107,False,False,False,0
feature_038,0,0.0,0.3354970899206468,1.0,0,0.0,-0.0003329969287631541,False,False,False,0
feature_335,0,0.0,0.3339234337658885,1.0,0,0.0,-6.047000781179901e-05,False,False,False,0
feature_011,0,0.0,0.32918586588097737,1.0,0,0.0,0.0006737175440408915,False,False,False,0
feature_488,0,0.0,0.32884023208622243,0.6666666666666667,0,0.0,-0.0005909082088701607,False,False,False,0
feature_277,0,0.0,0.3234115102340723,0.6666666666666666,0,0.0,0.0007357032136295327,False,False,False,0
feature_062,0,0.0,0.32143857246272206,1.0,0,0.0,-0.00033361459659608333,False,False,False,0
feature_563,0,0.0,0.3197820366084278,1.0,0,0.0,0.0039669263889460646,False,False,False,0
feature_428,0,0.0,0.3183873977828044,1.0,0,0.0,-0.00018776643558557888,False,False,False,0
feature_117,0,0.0,0.31576228293427167,1.0,0,0.0,-5.804235966490863e-05,False,False,False,0
feature_108,0,0.0,0.31219587378137,1.0,0,0.0,0.00020533997786790193,False,False,False,0
feature_124,0,0.0,0.30986081829185924,1.0,0,0.0,0.0002367810505575658,False,False,False,0
feature_473,0,0.0,0.3075986050829726,0.6666666666666666,0,0.0,0.000582458766210626,False,False,False,0
feature_091,0,0.0,0.3041941642657192,1.0,0,0.0,-0.0006368243578510539,False,False,False,0
feature_518,0,0.0,0.30319332787983766,1.0,0,0.0,0.0,False,False,False,0
feature_246,0,0.0,0.302050825659529,1.0,0,0.0,-0.00012138447308906237,False,False,False,0
feature_438,0,0.0,0.300748564375299,1.0,0,0.0,0.00044095662064779477,False,False,False,0
feature_090,0,0.0,0.3002856217382866,1.0,0,0.0,-7.606554179946042e-05,False,False,False,0
feature_168,0,0.0,0.2991351523809456,1.0,0,0.0,0.00019891622825288997,False,False,False,0
feature_275,0,0.0,0.2948551087785947,1.0,0,0.0,0.0002136662307957618,False,False,False,0
feature_485,0,0.0,0.29379061872534007,1.0,0,0.0,-0.0009083129772225743,False,False,False,0
feature_007,0,0.0,0.292810835347809,1.0,0,0.0,0.0007168362761015051,False,False,False,0
feature_292,0,0.0,0.29221251235032336,1.0,0,0.0,-0.0001093128421533196,False,False,False,0
feature_386,0,0.0,0.29089743667166923,1.0,0,0.0,-0.0016507301100490562,False,False,False,0
feature_486,0,0.0,0.28984257646969025,1.0,0,0.0,0.006305767793511369,False,False,False,0
feature_004,0,0.0,0.28550916838729473,1.0,0,0.0,-0.0008009587566167759,False,False,False,0
feature_048,0,0.0,0.2842540179285717,1.0,0,0.0,-0.003335765380506696,False,False,False,0
feature_497,0,0.0,0.2799725356297811,0.6666666666666667,0,0.0,0.00018869297527110884,False,False,False,0
feature_441,0,0.0,0.27917418424748563,1.0,0,0.0,-0.0003450944653167877,False,False,False,0
feature_101,0,0.0,0.2762695194723855,1.0,0,0.0,-0.0004438901250005678,False,False,False,0
feature_055,0,0.0,0.27556857752121006,1.0,0,0.0,-0.00039467528609253414,False,False,False,0
