feature,positive_top_k_count,mean_ap_drop,ap_drop_std_across_folds,median_positive_rank,positive_top_k_frequency
feature_247,0,0.00025224415085411885,0.0012605580611970732,110.0,0.0
feature_415,0,0.0002470710426253307,0.0003828892253788221,119.5,0.0
feature_222,0,0.00024012228990469598,0.00026773689903475005,124.0,0.0
feature_124,0,0.0002367810505575658,0.00028689213804999355,127.5,0.0
feature_066,0,0.0002354274873052774,0.0004748836401868105,85.0,0.0
feature_333,0,0.00023307515112169853,0.0022623195834409818,78.5,0.0
feature_337,0,0.00023299583350533314,0.0004962202657020627,81.5,0.0
feature_312,0,0.00023117724588899184,0.0011835751264757785,113.0,0.0
feature_255,0,0.00023116280459919674,0.00014924557053204042,161.0,0.0
feature_080,0,0.00022758559818876942,0.0003590400063049262,158.5,0.0
feature_254,0,0.0002188353340351419,0.00037490271513284626,103.5,0.0
feature_043,0,0.000214875698610927,0.00021426221449039146,177.0,0.0
feature_275,0,0.0002136662307957618,0.00013628118049913813,155.0,0.0
feature_108,0,0.00020533997786790193,0.0007483601906411832,42.0,0.0
feature_168,0,0.00019891622825288997,0.0008492530331105876,67.0,0.0
feature_324,0,0.00019335304122767663,0.0010461496069583364,85.0,0.0
feature_082,0,0.0001894662100351606,0.0006960138591077184,30.0,0.0
feature_439,0,0.0001892824547812926,0.00031429658067005933,135.0,0.0
feature_497,0,0.00018869297527110884,0.0009810429530546449,120.5,0.0
feature_073,0,0.00018731515882361438,0.0006898214232129933,48.0,0.0
feature_580,0,0.00018714198270804402,6.12907974971921e-05,174.0,0.0
feature_099,0,0.00017621461613971968,0.00012892801577385742,175.0,0.0
feature_238,0,0.00016723573452638967,0.0005334045969087965,118.0,0.0
feature_033,0,0.00016467300906220956,0.000759217456577281,73.5,0.0
feature_296,0,0.00015601082972355648,0.0002187969441668696,146.5,0.0
feature_057,0,0.00015146987024018446,0.0007027531822950568,31.0,0.0
feature_542,0,0.0001357247802706435,0.0002350822152748765,99.0,0.0
feature_559,0,0.00013509411241079743,0.0003584865579231328,149.5,0.0
feature_285,0,0.0001314564447981286,0.0007552709049054025,102.0,0.0
feature_183,0,0.0001306601506201044,0.0002570112464251218,153.5,0.0
feature_026,0,0.00012869396835081306,0.0009120971309528353,64.0,0.0
feature_147,0,0.00012684370526433453,0.00011600533328564726,165.0,0.0
feature_549,0,0.0001105358380662456,0.000551053721382836,121.5,0.0
feature_332,0,0.00010521859280140238,0.0006627601923929108,55.0,0.0
feature_142,0,0.00010517306196443906,0.0001471719557554134,170.0,0.0
feature_096,0,0.00010196182009831942,0.000723169960482937,109.5,0.0
feature_272,0,0.00010018755867734826,0.00044262859050868576,139.5,0.0
feature_427,0,9.192037604087201e-05,0.00016799504777685365,189.0,0.0
