feature,folds_retained,top_k_count,mean_standardized_coefficient,mean_absolute_coefficient,coefficient_std,positive_sign_fraction,sign_consistency,retained_frequency,top_k_frequency
feature_365,15,4,0.5610303155159914,0.5610303155159914,0.21090075257862353,1.0,1.0,1.0,0.26666666666666666
feature_581,15,4,-0.5415341131411583,0.5415341131411583,0.24148069800400018,0.0,1.0,1.0,0.26666666666666666
feature_363,15,4,-0.5334741224741036,0.534703566972005,0.291074528479805,0.06666666666666667,0.9333333333333333,1.0,0.26666666666666666
feature_488,15,4,-0.5039291966514439,0.5039291966514439,0.20801137233244812,0.0,1.0,1.0,0.26666666666666666
feature_067,15,3,-0.6311149875624892,0.6311149875624892,0.09433921224097865,0.0,1.0,1.0,0.2
feature_354,15,3,-0.5770078615314986,0.5770078615314986,0.20411779557172433,0.0,1.0,1.0,0.2
feature_214,15,3,-0.5698518290901885,0.5698518290901885,0.16923877873295298,0.0,1.0,1.0,0.2
feature_577,15,3,-0.5646501060866679,0.5646501060866679,0.16505535255280168,0.0,1.0,1.0,0.2
feature_168,15,3,0.5408218856916472,0.5408218856916472,0.15664959518583926,1.0,1.0,1.0,0.2
feature_406,15,3,0.4053522163741187,0.43831901570461806,0.3027013978182019,0.9333333333333333,0.9333333333333333,1.0,0.2
feature_407,15,3,-0.35802299851870834,0.3859323737913109,0.31816819413889563,0.13333333333333333,0.8666666666666667,1.0,0.2
feature_103,15,3,0.21275491222932133,0.3476541682830604,0.3892551996773141,0.7333333333333333,0.7333333333333333,1.0,0.2
feature_113,15,2,0.5750744944676031,0.5750744944676031,0.15246720485563703,1.0,1.0,1.0,0.13333333333333333
feature_249,15,2,0.541682736747405,0.541682736747405,0.16244064276833117,1.0,1.0,1.0,0.13333333333333333
feature_107,15,2,0.5367362447858585,0.5367362447858585,0.15110105182355885,1.0,1.0,1.0,0.13333333333333333
feature_500,15,2,0.5290424816025852,0.5290424816025852,0.14556928446199108,1.0,1.0,1.0,0.13333333333333333
feature_578,15,2,-0.4598133325727745,0.5165988798023304,0.315319814049945,0.06666666666666667,0.9333333333333333,1.0,0.13333333333333333
feature_566,15,2,-0.5033797364447533,0.5033797364447533,0.189108361085693,0.0,1.0,1.0,0.13333333333333333
feature_499,15,2,-0.4960999260974272,0.4960999260974272,0.202108253038003,0.0,1.0,1.0,0.13333333333333333
feature_026,15,2,-0.41175862761407267,0.474681459442397,0.3456981193784947,0.2,0.8,1.0,0.13333333333333333
feature_310,15,2,0.45604749547016765,0.46088870715635905,0.20540702262297217,0.9333333333333333,0.9333333333333333,1.0,0.13333333333333333
feature_014,15,2,-0.4509669510296346,0.4599265513833082,0.2683754271712761,0.13333333333333333,0.8666666666666667,1.0,0.13333333333333333
feature_188,15,2,0.44779696677555364,0.4513294180920918,0.23678257476061976,0.9333333333333333,0.9333333333333333,1.0,0.13333333333333333
feature_567,15,2,0.45100192339506495,0.45100192339506495,0.1818358026599373,1.0,1.0,1.0,0.13333333333333333
feature_094,15,2,-0.443096411300334,0.443096411300334,0.1931320089045966,0.0,1.0,1.0,0.13333333333333333
feature_270,15,2,-0.3280541491850441,0.421958480196181,0.366858475630495,0.2,0.8,1.0,0.13333333333333333
feature_029,15,2,0.41635163035122186,0.41635163035122186,0.1881161789791501,1.0,1.0,1.0,0.13333333333333333
feature_119,15,2,-0.40158591861465254,0.4051575909549671,0.2080728487703757,0.06666666666666667,0.9333333333333333,1.0,0.13333333333333333
feature_060,15,2,0.39516253593186385,0.39804245873552585,0.2940350124225654,0.9333333333333333,0.9333333333333333,1.0,0.13333333333333333
feature_316,15,2,-0.38498140928836816,0.3964858307397677,0.2505385398416409,0.06666666666666667,0.9333333333333333,1.0,0.13333333333333333
feature_317,15,2,-0.3942689267405811,0.3942689267405811,0.20288148106423418,0.0,1.0,1.0,0.13333333333333333
feature_413,15,2,0.11824757774837534,0.39220265680239846,0.44336596378377907,0.7333333333333333,0.7333333333333333,1.0,0.13333333333333333
feature_301,15,2,0.37278937368956516,0.37278937368956516,0.22440475539854557,1.0,1.0,1.0,0.13333333333333333
feature_072,15,2,0.30663829496540995,0.3434231980085949,0.288887345001264,0.8,0.8,1.0,0.13333333333333333
feature_271,15,2,0.2776164521154469,0.3397289418784542,0.31526797423712344,0.8,0.8,1.0,0.13333333333333333
feature_016,15,2,0.28248750137775674,0.3177059607341392,0.3111943391580951,0.8666666666666667,0.8666666666666667,1.0,0.13333333333333333
feature_000,15,2,-0.28506771871681114,0.3110431457030211,0.2769189277774854,0.06666666666666667,0.9333333333333333,1.0,0.13333333333333333
feature_064,15,1,0.5735339171898922,0.5735339171898922,0.15547256110947033,1.0,1.0,1.0,0.06666666666666667
feature_164,15,1,-0.5473410135994959,0.5473410135994959,0.13719010215883543,0.0,1.0,1.0,0.06666666666666667
feature_204,15,1,-0.533221472145852,0.533221472145852,0.09376060936154622,0.0,1.0,1.0,0.06666666666666667
feature_333,15,1,0.5035522320660367,0.5035522320660367,0.1629789357562993,1.0,1.0,1.0,0.06666666666666667
feature_387,15,1,0.5029177666010561,0.5029177666010561,0.15881643320654226,1.0,1.0,1.0,0.06666666666666667
feature_477,15,1,0.4986463438951064,0.4986463438951064,0.14738402949446383,1.0,1.0,1.0,0.06666666666666667
feature_197,15,1,0.48696329673453176,0.48696329673453176,0.18764676371635658,1.0,1.0,1.0,0.06666666666666667
feature_547,15,1,0.4620805295107932,0.4620805295107932,0.14185005425978292,1.0,1.0,1.0,0.06666666666666667
feature_471,15,1,0.45690208343705907,0.45690208343705907,0.19328228369206923,1.0,1.0,1.0,0.06666666666666667
feature_299,15,1,-0.4484664245682082,0.4484664245682082,0.17921509333064894,0.0,1.0,1.0,0.06666666666666667
feature_302,15,1,0.43725558054826463,0.43725558054826463,0.23782114015828165,1.0,1.0,1.0,0.06666666666666667
feature_349,15,1,0.41047107979582154,0.42924461106070294,0.21967374777166707,0.9333333333333333,0.9333333333333333,1.0,0.06666666666666667
feature_111,15,1,-0.42538245502455724,0.42538245502455724,0.15790998072544984,0.0,1.0,1.0,0.06666666666666667
feature_146,15,1,-0.4170441819815118,0.4170441819815118,0.2163910672322419,0.0,1.0,1.0,0.06666666666666667
feature_573,15,1,-0.40845225872565416,0.40845225872565416,0.16612362288089122,0.0,1.0,1.0,0.06666666666666667
feature_358,15,1,0.3682152762404983,0.404600442238956,0.2927134999485838,0.8,0.8,1.0,0.06666666666666667
feature_020,15,1,0.388093239659802,0.4022937258700837,0.22183407476252717,0.9333333333333333,0.9333333333333333,1.0,0.06666666666666667
feature_388,15,1,0.3982622535750087,0.3982622535750087,0.16186407984318024,1.0,1.0,1.0,0.06666666666666667
feature_089,15,1,0.18147804928106195,0.39654645065511324,0.4194256417999922,0.7333333333333333,0.7333333333333333,1.0,0.06666666666666667
feature_048,15,1,-0.3516147992225397,0.35946576983225825,0.25301749348727004,0.13333333333333333,0.8666666666666667,1.0,0.06666666666666667
feature_562,15,1,-0.3572976820423758,0.3572976820423758,0.17777789544268988,0.0,1.0,1.0,0.06666666666666667
feature_131,15,1,0.34446620055231286,0.34911229969680396,0.2025021317756252,0.9333333333333333,0.9333333333333333,1.0,0.06666666666666667
feature_476,15,1,-0.34031114752099295,0.34799319685944863,0.2284227612445292,0.06666666666666667,0.9333333333333333,1.0,0.06666666666666667
feature_100,15,1,0.30608823806901836,0.30608823806901836,0.24120243790259055,1.0,1.0,1.0,0.06666666666666667
feature_361,15,1,0.2790717528966942,0.3034074405412674,0.25226326254586,0.8666666666666667,0.8666666666666667,1.0,0.06666666666666667
feature_542,15,1,0.2815084025868823,0.3016822842646702,0.2557357307166876,0.8,0.8,1.0,0.06666666666666667
feature_006,15,1,-0.13551766218665617,0.2998049617550584,0.34097841111660226,0.26666666666666666,0.7333333333333334,1.0,0.06666666666666667
feature_251,15,1,-0.29928595347452736,0.2995324696724796,0.21197357069414527,0.06666666666666667,0.9333333333333333,1.0,0.06666666666666667
feature_108,15,1,-0.2920994754888992,0.2930840624396298,0.2202650327895566,0.06666666666666667,0.9333333333333333,1.0,0.06666666666666667
feature_292,15,1,0.048803917541047896,0.2916665261222645,0.36087958413588395,0.7333333333333333,0.7333333333333333,1.0,0.06666666666666667
feature_523,15,1,-0.2887425471928715,0.29122875642366386,0.20902036819903655,0.06666666666666667,0.9333333333333333,1.0,0.06666666666666667
feature_282,15,1,0.28655379961837074,0.28655379961837074,0.17598642583972282,1.0,1.0,1.0,0.06666666666666667
feature_389,15,1,-0.27655420298509553,0.2842902307588958,0.2108150724700416,0.13333333333333333,0.8666666666666667,1.0,0.06666666666666667
feature_210,15,1,-0.1916493503084655,0.28329673098118824,0.29603944506792884,0.3333333333333333,0.6666666666666667,1.0,0.06666666666666667
feature_384,15,1,-0.26741856151308574,0.26741856151308574,0.21393364400902237,0.0,1.0,1.0,0.06666666666666667
feature_491,15,1,0.2523884218479941,0.2523884218479941,0.17866729311166857,1.0,1.0,1.0,0.06666666666666667
feature_081,15,1,0.23798846838964685,0.23798846838964685,0.2151410330482535,1.0,1.0,1.0,0.06666666666666667
feature_090,15,1,-0.06588439148092741,0.23382101386014456,0.2838966868939694,0.5333333333333333,0.5333333333333333,1.0,0.06666666666666667
feature_510,15,1,0.12505218490916029,0.22711180587303711,0.2855927106123469,0.6666666666666666,0.6666666666666666,1.0,0.06666666666666667
feature_281,15,1,-0.18940866875042048,0.2232062238529159,0.2541301722154445,0.26666666666666666,0.7333333333333334,1.0,0.06666666666666667
feature_278,15,1,0.026623079171181983,0.22204657450395165,0.29106033752305843,0.4666666666666667,0.5333333333333333,1.0,0.06666666666666667
feature_087,15,1,-0.011874122703254228,0.18812448070190255,0.26651242802230285,0.4,0.6,1.0,0.06666666666666667
feature_340,15,0,-0.5502126370044318,0.5502126370044318,0.09052290488830597,0.0,1.0,1.0,0.0
feature_332,15,0,-0.5012296246392663,0.5012296246392663,0.14742996347493792,0.0,1.0,1.0,0.0
feature_438,15,0,-0.48227601774336487,0.48227601774336487,0.14509797490662935,0.0,1.0,1.0,0.0
feature_493,15,0,-0.46700432934469893,0.46700432934469893,0.08390378791927754,0.0,1.0,1.0,0.0
feature_157,15,0,-0.4452386163977478,0.4452386163977478,0.15660191559636713,0.0,1.0,1.0,0.0
feature_221,15,0,-0.44376730072513637,0.44376730072513637,0.09047244685518475,0.0,1.0,1.0,0.0
feature_068,15,0,-0.3934676864764698,0.4173889783613907,0.24896831759791427,0.13333333333333333,0.8666666666666667,1.0,0.0
feature_104,15,0,-0.40480866328821935,0.40480866328821935,0.16824661129373658,0.0,1.0,1.0,0.0
feature_115,15,0,-0.34906053471117093,0.38912287827727854,0.23997621409709752,0.13333333333333333,0.8666666666666667,1.0,0.0
feature_133,15,0,0.3583170882064117,0.38814971311730173,0.23530677509182066,0.9333333333333333,0.9333333333333333,1.0,0.0
feature_086,15,0,0.38469000323503094,0.38469000323503094,0.1541895617149977,1.0,1.0,1.0,0.0
feature_046,15,0,0.3796961499865129,0.3796961499865129,0.11089411503076631,1.0,1.0,1.0,0.0
feature_062,15,0,-0.3793559320431275,0.3793559320431275,0.1339935468402371,0.0,1.0,1.0,0.0
feature_071,15,0,0.3326754295367699,0.3782420579516118,0.27912397628179664,0.8666666666666667,0.8666666666666667,1.0,0.0
feature_093,15,0,-0.3766770021688414,0.3766770021688414,0.1300775583675724,0.0,1.0,1.0,0.0
feature_280,15,0,-0.3502211737524922,0.37268857764582286,0.27702509997057934,0.2,0.8,1.0,0.0
feature_366,15,0,-0.37242580906066414,0.37242580906066414,0.11773312442088872,0.0,1.0,1.0,0.0
feature_511,15,0,0.37118690152619904,0.37118690152619904,0.11143818649861767,1.0,1.0,1.0,0.0
feature_117,15,0,-0.36871727422320355,0.3711292136444085,0.19873091929451822,0.06666666666666667,0.9333333333333333,1.0,0.0
feature_469,15,0,0.3707762306898665,0.3707762306898665,0.1662309327892218,1.0,1.0,1.0,0.0
feature_344,15,0,-0.34356690249286964,0.36465763021732395,0.2843277097012996,0.13333333333333333,0.8666666666666667,1.0,0.0
feature_162,15,0,-0.34428586347134027,0.36284206001019925,0.2131008246207806,0.06666666666666667,0.9333333333333333,1.0,0.0
feature_138,15,0,0.3527012908486016,0.3527012908486016,0.1296705944327966,1.0,1.0,1.0,0.0
feature_341,15,0,0.34477970720685813,0.3508819320597887,0.20048520559051028,0.9333333333333333,0.9333333333333333,1.0,0.0
