model,model_label,metric,fold,value
logistic_balanced,Logistic Regression,fail_recall,5,0.4375
logistic_balanced,Logistic Regression,fail_recall,6,0.23529411764705882
logistic_balanced,Logistic Regression,fail_recall,7,0.47058823529411764
logistic_balanced,Logistic Regression,fail_recall,8,0.23529411764705882
logistic_balanced,Logistic Regression,fail_recall,9,0.1875
logistic_balanced,Logistic Regression,fail_recall,10,0.375
logistic_balanced,Logistic Regression,fail_recall,11,0.4117647058823529
logistic_balanced,Logistic Regression,fail_recall,12,0.35294117647058826
logistic_balanced,Logistic Regression,fail_recall,13,0.17647058823529413
logistic_balanced,Logistic Regression,fail_recall,14,0.1875
logistic_balanced,Logistic Regression,fail_recall,15,0.375
logistic_balanced,Logistic Regression,fail_precision,1,0.07142857142857142
logistic_balanced,Logistic Regression,fail_precision,2,0.15555555555555556
logistic_balanced,Logistic Regression,fail_precision,3,0.18518518518518517
logistic_balanced,Logistic Regression,fail_precision,4,0.07894736842105263
logistic_balanced,Logistic Regression,fail_precision,5,0.18421052631578946
logistic_balanced,Logistic Regression,fail_precision,6,0.12903225806451613
logistic_balanced,Logistic Regression,fail_precision,7,0.21621621621621623
logistic_balanced,Logistic Regression,fail_precision,8,0.12121212121212122
logistic_balanced,Logistic Regression,fail_precision,9,0.07692307692307693
logistic_balanced,Logistic Regression,fail_precision,10,0.14285714285714285
logistic_balanced,Logistic Regression,fail_precision,11,0.21212121212121213
logistic_balanced,Logistic Regression,fail_precision,12,0.1875
logistic_balanced,Logistic Regression,fail_precision,13,0.1
logistic_balanced,Logistic Regression,fail_precision,14,0.09090909090909091
logistic_balanced,Logistic Regression,fail_precision,15,0.15789473684210525
logistic_balanced,Logistic Regression,fail_f1,1,0.08888888888888889
logistic_balanced,Logistic Regression,fail_f1,2,0.22580645161290322
logistic_balanced,Logistic Regression,fail_f1,3,0.22727272727272727
logistic_balanced,Logistic Regression,fail_f1,4,0.1111111111111111
logistic_balanced,Logistic Regression,fail_f1,5,0.25925925925925924
logistic_balanced,Logistic Regression,fail_f1,6,0.16666666666666666
logistic_balanced,Logistic Regression,fail_f1,7,0.2962962962962963
logistic_balanced,Logistic Regression,fail_f1,8,0.16
logistic_balanced,Logistic Regression,fail_f1,9,0.10909090909090909
logistic_balanced,Logistic Regression,fail_f1,10,0.20689655172413793
logistic_balanced,Logistic Regression,fail_f1,11,0.28
logistic_balanced,Logistic Regression,fail_f1,12,0.24489795918367346
logistic_balanced,Logistic Regression,fail_f1,13,0.1276595744680851
logistic_balanced,Logistic Regression,fail_f1,14,0.12244897959183673
logistic_balanced,Logistic Regression,fail_f1,15,0.2222222222222222
logistic_balanced,Logistic Regression,balanced_accuracy,1,0.5032679738562091
logistic_balanced,Logistic Regression,balanced_accuracy,2,0.6246857717445953
logistic_balanced,Logistic Regression,balanced_accuracy,3,0.6000502765208647
logistic_balanced,Logistic Regression,balanced_accuracy,4,0.5189636752136753
logistic_balanced,Logistic Regression,balanced_accuracy,5,0.6525106837606838
logistic_balanced,Logistic Regression,balanced_accuracy,6,0.5599547511312217
logistic_balanced,Logistic Regression,balanced_accuracy,7,0.6733283056812469
logistic_balanced,Logistic Regression,balanced_accuracy,8,0.5556812468577175
logistic_balanced,Logistic Regression,balanced_accuracy,9,0.5168269230769231
logistic_balanced,Logistic Regression,balanced_accuracy,10,0.6105769230769231
logistic_balanced,Logistic Regression,balanced_accuracy,11,0.6503267973856208
logistic_balanced,Logistic Regression,balanced_accuracy,12,0.6209150326797386
logistic_balanced,Logistic Regression,balanced_accuracy,13,0.5305429864253394
logistic_balanced,Logistic Regression,balanced_accuracy,14,0.5296474358974359
logistic_balanced,Logistic Regression,balanced_accuracy,15,0.6191239316239316
logistic_balanced,Logistic Regression,roc_auc,1,0.5643539467068879
logistic_balanced,Logistic Regression,roc_auc,2,0.7071392659627954
logistic_balanced,Logistic Regression,roc_auc,3,0.6219205630970337
logistic_balanced,Logistic Regression,roc_auc,4,0.4772970085470085
logistic_balanced,Logistic Regression,roc_auc,5,0.6661324786324787
logistic_balanced,Logistic Regression,roc_auc,6,0.599798893916541
logistic_balanced,Logistic Regression,roc_auc,7,0.7654600301659126
logistic_balanced,Logistic Regression,roc_auc,8,0.5686274509803921
logistic_balanced,Logistic Regression,roc_auc,9,0.6153846153846153
logistic_balanced,Logistic Regression,roc_auc,10,0.6875
logistic_balanced,Logistic Regression,roc_auc,11,0.6930618401206636
logistic_balanced,Logistic Regression,roc_auc,12,0.717948717948718
logistic_balanced,Logistic Regression,roc_auc,13,0.5967823026646556
logistic_balanced,Logistic Regression,roc_auc,14,0.577724358974359
logistic_balanced,Logistic Regression,roc_auc,15,0.6124465811965812
logistic_balanced,Logistic Regression,average_precision,1,0.08679541084757025
logistic_balanced,Logistic Regression,average_precision,2,0.26030583990353606
logistic_balanced,Logistic Regression,average_precision,3,0.14145106971087085
logistic_balanced,Logistic Regression,average_precision,4,0.06736320518088587
logistic_balanced,Logistic Regression,average_precision,5,0.2380003765648534
logistic_balanced,Logistic Regression,average_precision,6,0.11868941137973509
logistic_balanced,Logistic Regression,average_precision,7,0.19804940066282195
logistic_balanced,Logistic Regression,average_precision,8,0.162054108569759
logistic_balanced,Logistic Regression,average_precision,9,0.10382562631922797
logistic_balanced,Logistic Regression,average_precision,10,0.15321195795935927
logistic_balanced,Logistic Regression,average_precision,11,0.27547615206467924
logistic_balanced,Logistic Regression,average_precision,12,0.16888307318266155
logistic_balanced,Logistic Regression,average_precision,13,0.10522501302640004
logistic_balanced,Logistic Regression,average_precision,14,0.14597779753454096
logistic_balanced,Logistic Regression,average_precision,15,0.19290552463192456
logistic_balanced,Logistic Regression,pr_auc_trapezoid,1,0.07769994633328635
logistic_balanced,Logistic Regression,pr_auc_trapezoid,2,0.2450936000627533
logistic_balanced,Logistic Regression,pr_auc_trapezoid,3,0.1272119364507756
logistic_balanced,Logistic Regression,pr_auc_trapezoid,4,0.06058110739095318
logistic_balanced,Logistic Regression,pr_auc_trapezoid,5,0.20637038534322352
logistic_balanced,Logistic Regression,pr_auc_trapezoid,6,0.10385648644804037
logistic_balanced,Logistic Regression,pr_auc_trapezoid,7,0.17137082771415968
logistic_balanced,Logistic Regression,pr_auc_trapezoid,8,0.13973469339167616
logistic_balanced,Logistic Regression,pr_auc_trapezoid,9,0.09026042688372497
logistic_balanced,Logistic Regression,pr_auc_trapezoid,10,0.13095873201505298
logistic_balanced,Logistic Regression,pr_auc_trapezoid,11,0.25991440418356637
logistic_balanced,Logistic Regression,pr_auc_trapezoid,12,0.1475952140598984
logistic_balanced,Logistic Regression,pr_auc_trapezoid,13,0.09493980702996817
logistic_balanced,Logistic Regression,pr_auc_trapezoid,14,0.139574673162504
logistic_balanced,Logistic Regression,pr_auc_trapezoid,15,0.1673417773043486
random_forest_balanced,Random Forest,fail_recall,1,0.0
random_forest_balanced,Random Forest,fail_recall,2,0.0
random_forest_balanced,Random Forest,fail_recall,3,0.0
random_forest_balanced,Random Forest,fail_recall,4,0.0
random_forest_balanced,Random Forest,fail_recall,5,0.0
