feature,impurity_importance
feature_103,0.016086887812041876
feature_033,0.013277408528947966
feature_059,0.013230752061418953
feature_519,0.009783289521856968
feature_205,0.009679262215735158
feature_213,0.008200318970160493
feature_510,0.007906430603552223
feature_125,0.007173137992493298
feature_341,0.007142413677033077
feature_129,0.007116746115356098
feature_247,0.007018581079778074
feature_130,0.006959683339009164
feature_477,0.0069570448890472585
feature_031,0.006462809686329297
feature_065,0.006162638405613813
feature_064,0.00606967318330944
feature_021,0.006009886173525384
feature_180,0.006008556436893832
feature_351,0.0058209002121497235
feature_183,0.005620641259411033
feature_452,0.004865835982094589
feature_281,0.004821514272804184
feature_385,0.004449088266948335
feature_081,0.004420623043818472
feature_270,0.004411364098853166
feature_200,0.004402759109065262
feature_091,0.004238589898980915
feature_075,0.004145559903839901
feature_014,0.004141781750084475
feature_126,0.004122489430275834
feature_028,0.004066074058790644
feature_152,0.003881796814851054
feature_587,0.003845099911297276
feature_122,0.0038219044832062394
feature_410,0.003816538173978152
feature_008,0.0038054796841519543
feature_460,0.003719906486485393
feature_124,0.0037011283199242105
feature_280,0.0036982221936815605
feature_333,0.0036379660885094357
feature_455,0.0036334380264021067
feature_127,0.003593310336902828
feature_182,0.003593180775046713
feature_056,0.003586389693036076
feature_390,0.0035769767805475805
feature_086,0.00346325457907469
feature_524,0.003402949807277798
feature_573,0.0033616155282043397
feature_090,0.003361605651941653
feature_102,0.003360924613458228
feature_336,0.0033595482311265246
feature_160,0.003338138024161534
feature_417,0.0033233538220485076
feature_307,0.003303873198387072
feature_009,0.003299891183871621
feature_319,0.003243620814051619
feature_469,0.0032385443437407476
feature_131,0.0032277223652910437
feature_488,0.0031870514696778003
feature_425,0.0031728017646857607
feature_043,0.003107823699450858
feature_309,0.0030947886773129724
feature_132,0.003093127223815079
feature_577,0.0030697344232287877
feature_316,0.003062543212205186
feature_144,0.0030623289316656934
feature_121,0.003018079730433915
feature_159,0.002985841131652891
feature_282,0.002960402657327122
feature_431,0.0029537808246369946
feature_016,0.002933781737777093
feature_137,0.0029247565124173873
feature_317,0.002923549159311801
feature_480,0.002918930640273667
feature_295,0.0029161221181746035
feature_563,0.0029160159030556737
feature_172,0.0029023650309924352
feature_045,0.002882803769480962
feature_035,0.0028632819936536685
feature_197,0.002863179962479932
feature_272,0.002848264545145077
feature_323,0.0028436413010998656
feature_000,0.002833210264726901
feature_345,0.002829938306556052
feature_066,0.0028190911264325907
feature_433,0.0028067542847945333
feature_070,0.0027614421741513863
feature_161,0.0027455827871138644
feature_039,0.002743293735414584
feature_346,0.0027418681134568313
feature_411,0.002739103365835969
feature_423,0.0027097136757329703
feature_575,0.002701484876000796
feature_468,0.002694630948726921
feature_348,0.002691787735824396
feature_048,0.0026865452331549296
feature_175,0.00268344505051351
feature_582,0.002670594852774882
feature_490,0.002663777060722031
feature_268,0.0026497735416648716
feature_146,0.002648510117145487
feature_195,0.002642802662479169
feature_216,0.0026161672483417907
feature_078,0.0026078889090722906
feature_225,0.0026032710117260744
feature_063,0.0026003540309289096
feature_274,0.002587274634493868
feature_037,0.0025797301170517135
